call_id,call_date,rule_id,rule_parent_id,rule_text,popUpURL
2204584,1/1/2025,1,0,תלונה עיקרית,NULL
2204584,1/1/2025,6748,1,כללי,NULL
2204584,1/1/2025,6814,6748,מחיר ביקור,
2204584,1/1/2025,6850,6814,תשלום במזומן או אשראי בלבד! ללא צ'קים או מטבע חוץ,NULL
2204584,1/1/2025,6839,6850,ביקור רגיל,
2204584,1/1/2025,8298,6839,ביקור רגיל - צפיה בקישור המצורף,https://www2.teremi.com/staff/paydefaults.aspx
2204585,1/1/2025,1,0,תלונה עיקרית,NULL
2204585,1/1/2025,6748,1,כללי,NULL
2204585,1/1/2025,6814,6748,מחיר ביקור,
2204585,1/1/2025,6850,6814,תשלום במזומן או אשראי בלבד! ללא צ'קים או מטבע חוץ,NULL
2204585,1/1/2025,6839,6850,ביקור רגיל,
2204585,1/1/2025,8298,6839,ביקור רגיל - צפיה בקישור המצורף,https://www2.teremi.com/staff/paydefaults.aspx
2204587,1/1/2025,1,0,תלונה עיקרית,NULL
2204587,1/1/2025,6748,1,כללי,NULL
2204587,1/1/2025,6764,6748,תוצאות מעבדה - שתן או גרון,NULL
2204587,1/1/2025,7571,6764,משטח גרון ,NULL
2204587,1/1/2025,7575,7571,לתוצאות המשטח ,https://www2.teremi.com/cultureforms/index.aspx?universal=true
2204592,1/1/2025,1,0,תלונה עיקרית,NULL
2204592,1/1/2025,6748,1,כללי,NULL
2204592,1/1/2025,6763,6748,צפייה בתיק רפואי או רנטגן,NULL
2204592,1/1/2025,6829,6763,כל מטופל עם פרטי הביקור יכול לצפות בגליון הרפואי שלו. לא שולחים בפקס או במייל! חובה לוודא את פרטי המטופל ומוסרים מידע אך ורק למטופל עצמו!,NULL
2204592,1/1/2025,6901,6829,הוצאת פרטי ביקור,NULL
2204592,1/1/2025,6866,6901,שיחזור מס ביקור ותיק הינה ללא עלות לצפיה דיגיטלית ,https://www2.teremi.com/prtcl/patienthistory.aspx
2204595,1/1/2025,1,0,תלונה עיקרית,NULL
2204595,1/1/2025,6748,1,כללי,NULL
2204595,1/1/2025,6763,6748,צפייה בתיק רפואי או רנטגן,NULL
2204595,1/1/2025,6829,6763,כל מטופל עם פרטי הביקור יכול לצפות בגליון הרפואי שלו. לא שולחים בפקס או במייל! חובה לוודא את פרטי המטופל ומוסרים מידע אך ורק למטופל עצמו!,NULL
2204595,1/1/2025,6901,6829,הוצאת פרטי ביקור,NULL
2204595,1/1/2025,6866,6901,שיחזור מס ביקור ותיק הינה ללא עלות לצפיה דיגיטלית ,https://www2.teremi.com/prtcl/patienthistory.aspx
2204602,1/1/2025,1,0,תלונה עיקרית,NULL
2204602,1/1/2025,6748,1,כללי,NULL
2204602,1/1/2025,6928,6748,מעקב מרפאה אורטופדית,NULL
2204606,1/1/2025,1,0,תלונה עיקרית,NULL
2204606,1/1/2025,6748,1,כללי,NULL
2204606,1/1/2025,6814,6748,מחיר ביקור,
2204606,1/1/2025,6850,6814,תשלום במזומן או אשראי בלבד! ללא צ'קים או מטבע חוץ,NULL
2204606,1/1/2025,6839,6850,ביקור רגיל,
2204606,1/1/2025,8298,6839,ביקור רגיל - צפיה בקישור המצורף,https://www2.teremi.com/staff/paydefaults.aspx
2204607,1/1/2025,1,0,תלונה עיקרית,NULL
2204607,1/1/2025,6749,1,מטיילים,NULL
2204607,1/1/2025,6787,6749,בקביעת תור מראש בלבד! מגיעים לייעוץ (לא רופא) ומתחסנים באותו יום. להביא כרטיס קופת חולים ופנקס חיסונים.המלצה כוללת  להגיע כחודש לפני הטיסה,NULL
2204607,1/1/2025,6788,6787,מלאי חיסונים,NULL
2204608,1/1/2025,1,0,תלונה עיקרית,NULL
2204608,1/1/2025,6748,1,כללי,NULL
2204608,1/1/2025,6763,6748,צפייה בתיק רפואי או רנטגן,NULL
2204608,1/1/2025,6829,6763,כל מטופל עם פרטי הביקור יכול לצפות בגליון הרפואי שלו. לא שולחים בפקס או במייל! חובה לוודא את פרטי המטופל ומוסרים מידע אך ורק למטופל עצמו!,NULL
2204608,1/1/2025,6901,6829,הוצאת פרטי ביקור,NULL
2204608,1/1/2025,6866,6901,שיחזור מס ביקור ותיק הינה ללא עלות לצפיה דיגיטלית ,https://www2.teremi.com/prtcl/patienthistory.aspx
2204612,1/1/2025,1,0,תלונה עיקרית,NULL
2204612,1/1/2025,6748,1,כללי,NULL
2204612,1/1/2025,6764,6748,תוצאות מעבדה - שתן או גרון,NULL
2204612,1/1/2025,7571,6764,משטח גרון ,NULL
2204612,1/1/2025,7575,7571,לתוצאות המשטח ,https://www2.teremi.com/cultureforms/index.aspx?universal=true
2204615,1/1/2025,1,0,תלונה עיקרית,NULL
2204615,1/1/2025,6750,1,אולטראסאונד/מכון לב/כלי דם,NULL
2204615,1/1/2025,6769,6750,מוקד א-ה 8:00 עד 15:00. בחירות/חג וערב חג/שישי ושבת - המוקד סגור!,NULL
