call_id,call_date,rule_id,rule_parent_id,rule_text,popUpURL
2250273,3/1/2025,1,0,תלונה עיקרית,NULL
2250273,3/1/2025,6748,1,כללי,NULL
2250273,3/1/2025,6814,6748,מחיר ביקור,
2250273,3/1/2025,6850,6814,תשלום במזומן או אשראי בלבד! ללא צ'קים או מטבע חוץ,NULL
2250273,3/1/2025,6839,6850,ביקור רגיל,
2250273,3/1/2025,8298,6839,ביקור רגיל - צפיה בקישור המצורף,https://www2.teremi.com/staff/paydefaults.aspx
2250283,3/1/2025,1,0,תלונה עיקרית,NULL
2250283,3/1/2025,6748,1,כללי,NULL
2250283,3/1/2025,6814,6748,מחיר ביקור,
2250283,3/1/2025,6850,6814,תשלום במזומן או אשראי בלבד! ללא צ'קים או מטבע חוץ,NULL
2250283,3/1/2025,6839,6850,ביקור רגיל,
2250283,3/1/2025,8298,6839,ביקור רגיל - צפיה בקישור המצורף,https://www2.teremi.com/staff/paydefaults.aspx
2250284,3/1/2025,1,0,תלונה עיקרית,NULL
2250284,3/1/2025,6748,1,כללי,NULL
2250296,3/1/2025,1,0,תלונה עיקרית,NULL
2250296,3/1/2025,6750,1,אולטראסאונד/מכון לב/כלי דם,NULL
2250296,3/1/2025,6769,6750,מוקד א-ה 8:00 עד 15:00. בחירות/חג וערב חג/שישי ושבת - המוקד סגור!,NULL
2250296,3/1/2025,6774,6769,אולטרסאונד\מכון לב,NULL
2250326,3/1/2025,1,0,תלונה עיקרית,NULL
2250326,3/1/2025,6748,1,כללי,NULL
2250328,3/1/2025,1,0,תלונה עיקרית,NULL
2250328,3/1/2025,6748,1,כללי,NULL
2250328,3/1/2025,6814,6748,מחיר ביקור,
2250328,3/1/2025,6850,6814,תשלום במזומן או אשראי בלבד! ללא צ'קים או מטבע חוץ,NULL
2250328,3/1/2025,6839,6850,ביקור רגיל,
2250328,3/1/2025,8298,6839,ביקור רגיל - צפיה בקישור המצורף,https://www2.teremi.com/staff/paydefaults.aspx
2250367,3/1/2025,1,0,תלונה עיקרית,NULL
2250367,3/1/2025,6748,1,כללי,NULL
2250367,3/1/2025,6946,6748,צילומי רנטגן,NULL
2250367,3/1/2025,6947,6946,צילום בלבד: ללא בדיקת רופא,NULL
2250367,3/1/2025,6949,6947,חובה עם הפניה והתחייבות לטרם לצילום בלבד. ללא קביעת תור מראש. אם לא צויין אחרת - במהלך כל שעות פעילות הסניף.,NULL
2250367,3/1/2025,7002,6949,בני ברק/איכילוב,NULL
2250369,3/1/2025,1,0,תלונה עיקרית,NULL
2250369,3/1/2025,6748,1,כללי,NULL
2250369,3/1/2025,6814,6748,מחיר ביקור,
2250369,3/1/2025,6850,6814,תשלום במזומן או אשראי בלבד! ללא צ'קים או מטבע חוץ,NULL
2250369,3/1/2025,6839,6850,ביקור רגיל,
2250369,3/1/2025,8298,6839,ביקור רגיל - צפיה בקישור המצורף,https://www2.teremi.com/staff/paydefaults.aspx
2250377,3/1/2025,1,0,תלונה עיקרית,NULL
2250377,3/1/2025,6748,1,כללי,NULL
2250377,3/1/2025,6814,6748,מחיר ביקור,
2250377,3/1/2025,6850,6814,תשלום במזומן או אשראי בלבד! ללא צ'קים או מטבע חוץ,NULL
2250377,3/1/2025,6839,6850,ביקור רגיל,
2250377,3/1/2025,8298,6839,ביקור רגיל - צפיה בקישור המצורף,https://www2.teremi.com/staff/paydefaults.aspx
2250386,3/1/2025,1,0,תלונה עיקרית,NULL
2250386,3/1/2025,6748,1,כללי,NULL
2250386,3/1/2025,6814,6748,מחיר ביקור,
2250386,3/1/2025,6850,6814,תשלום במזומן או אשראי בלבד! ללא צ'קים או מטבע חוץ,NULL
2250386,3/1/2025,6839,6850,ביקור רגיל,
2250386,3/1/2025,8298,6839,ביקור רגיל - צפיה בקישור המצורף,https://www2.teremi.com/staff/paydefaults.aspx
2250392,3/1/2025,1,0,תלונה עיקרית,NULL
2250392,3/1/2025,6748,1,כללי,NULL
2250392,3/1/2025,6814,6748,מחיר ביקור,
2250392,3/1/2025,6850,6814,תשלום במזומן או אשראי בלבד! ללא צ'קים או מטבע חוץ,NULL
2250392,3/1/2025,6839,6850,ביקור רגיל,
2250392,3/1/2025,8298,6839,ביקור רגיל - צפיה בקישור המצורף,https://www2.teremi.com/staff/paydefaults.aspx
2250394,3/1/2025,1,0,תלונה עיקרית,NULL
2250394,3/1/2025,6748,1,כללי,NULL
2250394,3/1/2025,7102,6748,בדיקות דם בטרם - לשיקול הרופא,NULL
2250420,3/1/2025,1,0,תלונה עיקרית,NULL
2250420,3/1/2025,6748,1,כללי,NULL
2250420,3/1/2025,6946,6748,צילומי רנטגן,NULL
2250420,3/1/2025,6947,6946,צילום בלבד: ללא בדיקת רופא,NULL
2250420,3/1/2025,6949,6947,חובה עם הפניה והתחייבות לטרם לצילום בלבד. ללא קביעת תור מראש. אם לא צויין אחרת - במהלך כל שעות פעילות הסניף.,NULL
2250420,3/1/2025,7003,6949,פסגת זאב,NULL
2250424,3/1/2025,1,0,תלונה עיקרית,NULL
2250424,3/1/2025,6748,1,כללי,NULL
2250424,3/1/2025,6946,6748,צילומי רנטגן,NULL
2250424,3/1/2025,6947,6946,צילום בלבד: ללא בדיקת רופא,NULL
2250424,3/1/2025,6949,6947,חובה עם הפניה והתחייבות לטרם לצילום בלבד. ללא קביעת תור מראש. אם לא צויין אחרת - במהלך כל שעות פעילות הסניף.,NULL
